time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-12T13:59:39.700Z,38.7779999,-122.7233353,1.86,0.37,md,8,125,0.006712,0.02,nc,nc72968461,2018-02-12T14:59:02.970Z,"3km W of Anderson Springs, CA",earthquake,0.48,0.79,0.28,3,automatic,nc,nc
2018-02-12T13:58:15.230Z,38.8216667,-122.7783356,0.08,0.55,md,10,58,0.008594,0.01,nc,nc72968456,2018-02-12T14:31:02.922Z,"5km W of Cobb, CA",earthquake,0.21,0.48,0.16,3,automatic,nc,nc
2018-02-12T13:56:26.940Z,46.8543333,-121.9463333,11.19,0.59,ml,5,211,0.07977,0.08,uw,uw61368771,2018-02-12T18:56:34.540Z,"24km E of Eatonville, Washington",earthquake,0.79,0.89,0.189,5,reviewed,uw,uw
2018-02-12T13:35:31.070Z,33.5171667,-116.7845,6.59,0.39,ml,13,135,0.0622,0.13,ci,ci38106952,2018-02-12T17:40:37.619Z,"11km WSW of Anza, CA",earthquake,0.37,0.8,0.173,15,reviewed,ci,ci
2018-02-12T13:26:02.010Z,46.9121667,-121.9636667,3.85,0.96,ml,16,60,0.03273,0.14,uw,uw61368766,2018-02-12T18:11:39.310Z,"23km ENE of Eatonville, Washington",earthquake,0.34,0.82,0.196,12,reviewed,uw,uw
2018-02-12T13:20:10.510Z,38.8253326,-122.8550034,1.74,0.96,md,9,114,0.01576,0.03,nc,nc72968451,2018-02-12T13:53:02.855Z,"10km WNW of The Geysers, CA",earthquake,0.4,0.88,0.07,2,automatic,nc,nc
2018-02-12T13:15:55.180Z,48.3325,-124.5513333,31.54,2.1,ml,15,78,0.04578,0.18,uw,uw61368756,2018-02-12T18:28:09.020Z,"6km SE of Neah Bay, Washington",earthquake,0.53,0.71,0.131,10,reviewed,uw,uw
2018-02-12T13:01:59.240Z,46.8161667,-111.6213333,1.52,1.66,ml,17,111,0.359,0.13,mb,mb80281159,2018-02-12T15:21:23.290Z,"28km ENE of Helena Valley Northeast, Montana",earthquake,0.65,3.99,0.227,2,reviewed,mb,mb
2018-02-12T12:58:45.350Z,37.8518333,-122.2371674,2.83,1.05,md,8,228,0.02353,0.03,nc,nc72968446,2018-02-12T13:28:02.795Z,"3km N of Piedmont, CA",earthquake,1.07,0.56,0.1,6,automatic,nc,nc
2018-02-12T12:42:20.610Z,46.0026667,-111.3978333,5.82,0.39,md,6,161,0.197,0.1,mb,mb80281214,2018-02-12T20:42:43.300Z,"17km NE of Three Forks, Montana",earthquake,0.82,6.91,0.249,3,reviewed,mb,mb
2018-02-12T12:41:52.671Z,64.8321,-147.5114,14.9,0.4,ml,,,,0.34,ak,ak18432612,2018-02-12T12:49:22.968Z,"3km NNE of Badger, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-02-12T12:14:50.930Z,33.5128333,-116.447,6.13,0.67,ml,25,103,0.02068,0.2,ci,ci38106944,2018-02-12T17:40:57.035Z,"21km SW of La Quinta, CA",earthquake,0.39,0.68,0.101,18,reviewed,ci,ci
2018-02-12T11:42:07.920Z,62.3124,-149.4229,56.7,1.2,ml,,,,0.1,ak,ak18432188,2018-02-12T11:45:25.870Z,"27km NE of Y, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-02-12T11:17:24.100Z,33.4775,-116.459,5.39,1.34,ml,45,103,0.05357,0.2,ci,ci38106936,2018-02-12T17:42:21.440Z,"22km ESE of Anza, CA",earthquake,0.23,0.72,0.219,26,reviewed,ci,ci
2018-02-12T10:36:50.092Z,62.3284,-150.2565,9.8,1.2,ml,,,,0.66,ak,ak18431775,2018-02-12T10:43:01.960Z,"7km W of Talkeetna, Alaska",earthquake,,2,,,automatic,ak,ak
2018-02-12T10:31:32.380Z,38.2234,115.8472,10,4.6,mb,,165,9.533,0.47,us,us2000d0va,2018-02-12T19:17:51.448Z,"56km NNE of Hengshui, China",earthquake,12.1,2,0.103,28,reviewed,us,us
2018-02-12T10:21:50.660Z,38.8414993,-122.828331,1.64,0.81,md,12,103,0.006299,0.04,nc,nc72968436,2018-02-12T11:14:03.554Z,"9km WNW of Cobb, CA",earthquake,0.3,0.63,0.24,2,automatic,nc,nc
2018-02-12T09:57:54.330Z,48.0128333,-122.245,22.66,0.86,ml,10,105,0.02788,0.1,uw,uw61368736,2018-02-12T19:40:35.070Z,"4km NW of Everett, Washington",earthquake,0.35,0.85,0.111,5,reviewed,uw,uw
2018-02-12T09:56:54.440Z,-2.0957,100.6143,67.05,4.6,mb,,170,2.443,0.68,us,us2000d0v9,2018-02-12T10:42:40.040Z,"82km S of Painan, Indonesia",earthquake,9,8.2,0.098,31,reviewed,us,us
2018-02-12T09:25:30.950Z,46.2071667,-122.202,1.9,-0.17,md,4,170,0.01132,0.04,uw,uw61368731,2018-02-12T19:24:32.250Z,"38km NNE of Amboy, Washington",earthquake,1.66,0.76,0.697,2,reviewed,uw,uw
2018-02-12T09:22:18.513Z,62.7221,-149.8456,67.2,1.6,ml,,,,0.49,ak,ak18431761,2018-02-12T09:35:01.458Z,"46km NNE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-02-12T09:15:03.530Z,33.5808333,-116.817,8.99,0.79,ml,28,44,0.04598,0.2,ci,ci38106928,2018-02-12T17:42:24.780Z,"14km WNW of Anza, CA",earthquake,0.32,0.65,0.147,24,reviewed,ci,ci
2018-02-12T08:53:26.759Z,65.9875,-147.9034,1,1.6,ml,,,,0.55,ak,ak18431358,2018-02-12T09:10:43.605Z,"126km N of College, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-02-12T08:40:20.710Z,33.5333333,-116.7211667,3.46,0.03,ml,15,175,0.0347,0.1,ci,ci38106920,2018-02-12T16:57:13.843Z,"5km WSW of Anza, CA",earthquake,0.24,0.41,0.226,10,reviewed,ci,ci
2018-02-12T08:33:02.740Z,33.7033333,-116.7145,16.09,0.94,ml,40,54,0.007818,0.16,ci,ci38106912,2018-02-12T17:42:28.170Z,"4km S of Idyllwild, CA",earthquake,0.23,0.4,0.184,28,reviewed,ci,ci
2018-02-12T08:28:13.870Z,46.5383333,-122.3231667,0.85,0.65,ml,11,185,0.1159,0.13,uw,uw61368726,2018-02-12T21:58:25.250Z,"4km WSW of Morton, Washington",earthquake,0.63,9.9,0.097,11,reviewed,uw,uw
2018-02-12T08:05:33.770Z,33.5131667,-116.4613333,6.11,0.65,ml,19,99,0.03147,0.19,ci,ci38106904,2018-02-12T17:41:46.460Z,"20km ESE of Anza, CA",earthquake,0.29,0.68,0.185,18,reviewed,ci,ci
2018-02-12T08:03:20.978Z,62.3328,-150.4002,19.5,1.5,ml,,,,0.48,ak,ak18431354,2018-02-12T08:10:41.342Z,"15km W of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-02-12T08:02:57.980Z,34.199,-117.0096667,12.34,2.21,ml,82,27,0.09703,0.17,ci,ci38106896,2018-02-12T08:14:05.380Z,"9km E of Running Springs, CA",earthquake,0.18,0.44,0.203,25,automatic,ci,ci
2018-02-12T07:53:59.540Z,33.7535,-116.077,11.58,0.6,ml,13,99,0.1026,0.18,ci,ci38106888,2018-02-12T07:57:26.154Z,"12km NE of Coachella, CA",earthquake,0.44,1.4,0.097,9,automatic,ci,ci
2018-02-12T07:43:03.300Z,33.9848333,-116.9286667,4.83,0.58,ml,9,79,0.06478,0.09,ci,ci38106880,2018-02-12T07:46:35.088Z,"8km NE of Beaumont, CA",earthquake,0.39,0.94,0.104,11,automatic,ci,ci
2018-02-12T07:41:00.960Z,36.9281,71.5092,10,4.5,mb,,99,0.772,1.16,us,us2000d0uc,2018-02-12T11:10:43.040Z,"24km NNW of Ishkashim, Tajikistan",earthquake,4.6,1.9,0.113,23,reviewed,us,us
2018-02-12T07:26:38.740Z,19.3028,-66.1926,53,3.37,md,11,297,0.9997,0.48,pr,pr2018043002,2018-02-12T13:40:52.040Z,"103km N of San Juan, Puerto Rico",earthquake,3.96,13.78,0.12,8,reviewed,pr,pr
2018-02-12T07:26:27.600Z,56.1457,-149.472,20.32,3.7,ml,,203,2.365,0.96,us,us2000d0u7,2018-02-12T16:55:33.231Z,"255km SE of Kodiak, Alaska",earthquake,8.4,9.8,0.053,46,reviewed,us,us
2018-02-12T07:20:35.000Z,19.2608,-66.1236,67,3.24,md,8,305,0.9526,0.4,pr,pr2018043001,2018-02-12T13:44:49.040Z,"105km N of San Juan, Puerto Rico",earthquake,4.89,9.96,0.15,6,reviewed,pr,pr
2018-02-12T07:15:47.110Z,33.5083333,-116.7973333,4.54,0.25,ml,18,102,0.07585,0.2,ci,ci38106872,2018-02-12T17:42:18.098Z,"10km NE of Aguanga, CA",earthquake,0.34,0.75,0.086,10,reviewed,ci,ci
2018-02-12T07:08:54.860Z,33.4955,-116.7963333,4.97,1.89,ml,72,31,0.08539,0.23,ci,ci38106864,2018-02-12T17:43:34.310Z,"9km NE of Aguanga, CA",earthquake,0.2,1.14,0.141,26,reviewed,ci,ci
2018-02-12T07:05:00.290Z,33.4938333,-116.4751667,13.97,0.88,ml,34,98,0.05077,0.16,ci,ci38106856,2018-02-12T17:44:22.324Z,"20km ESE of Anza, CA",earthquake,0.22,0.48,0.204,27,reviewed,ci,ci
2018-02-12T07:03:45.500Z,33.4828333,-116.7851667,4.68,0.62,ml,28,39,0.09154,0.14,ci,ci38106848,2018-02-12T17:45:40.740Z,"9km ENE of Aguanga, CA",earthquake,0.18,1.25,0.126,20,reviewed,ci,ci
2018-02-12T06:59:28.100Z,33.484,-116.785,4.37,0.75,ml,31,39,0.09044,0.15,ci,ci38106840,2018-02-12T17:45:43.920Z,"9km ENE of Aguanga, CA",earthquake,0.19,0.47,0.123,24,reviewed,ci,ci
2018-02-12T06:58:59.370Z,37.5153333,-118.8796667,3.94,0.79,md,8,179,0.0847,0.02,nc,nc72968361,2018-02-12T21:10:02.594Z,"16km SSE of Mammoth Lakes, CA",earthquake,0.89,2.63,0.328,7,reviewed,nc,nc
2018-02-12T06:56:05.390Z,38.7748337,-122.7481689,0.51,1.2,md,10,81,0.01226,0.02,nc,nc72968356,2018-02-12T08:29:02.264Z,"1km ESE of The Geysers, CA",earthquake,0.39,0.51,0.3,3,automatic,nc,nc
2018-02-12T06:31:44.690Z,33.5105,-116.7906667,6.02,0.61,ml,26,38,0.0706,0.16,ci,ci38106832,2018-02-12T17:45:27.122Z,"10km NE of Aguanga, CA",earthquake,0.22,0.93,0.085,18,reviewed,ci,ci
2018-02-12T06:23:42.530Z,38.7949982,-122.7656631,0.42,0.62,md,7,105,0.02169,0.02,nc,nc72968341,2018-02-12T08:00:04.212Z,"2km NNW of The Geysers, CA",earthquake,0.35,1.86,0.15,3,automatic,nc,nc
2018-02-12T06:15:53.280Z,36.4039993,-120.9684982,0.29,1.75,md,10,160,0.04575,0.07,nc,nc72968331,2018-02-12T07:05:04.310Z,"21km SE of Pinnacles, CA",earthquake,0.69,0.93,0.2,7,automatic,nc,nc
2018-02-12T06:14:21.220Z,33.4926667,-116.7951667,4.86,0.23,ml,13,67,0.08717,0.09,ci,ci38106824,2018-02-12T06:18:03.461Z,"8km NE of Aguanga, CA",earthquake,0.25,1.21,0.054,7,automatic,ci,ci
2018-02-12T06:11:18.355Z,61.1667,-139.8408,0,1.8,ml,,,,0.59,ak,ak18431335,2018-02-12T06:23:43.391Z,"134km WNW of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2018-02-12T06:08:16.996Z,61.1912,-139.855,13.2,1.2,ml,,,,0.25,ak,ak18431334,2018-02-12T06:13:35.584Z,"136km WNW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2018-02-12T06:02:23.610Z,38.7891655,-122.762001,0.7,1.2,md,13,161,0.02062,0.03,nc,nc72968326,2018-02-12T06:39:04.077Z,"1km NNW of The Geysers, CA",earthquake,0.41,0.81,0.1,3,automatic,nc,nc
2018-02-12T05:58:18.830Z,39.546,20.5468,10,3.8,mwr,,53,0.603,1.37,us,us2000d0tm,2018-02-12T13:31:24.040Z,"8km NNE of Paramythia, Greece",earthquake,3.8,1.5,0.089,12,reviewed,us,us
2018-02-12T05:57:09.944Z,51.4372,-178.3312,25.9,2.3,ml,,,,0.35,ak,ak18431332,2018-02-12T17:33:06.531Z,"51km SSW of Tanaga Volcano, Alaska",earthquake,,18.4,,,reviewed,ak,ak
2018-02-12T05:53:22.660Z,33.501,-116.7926667,6.18,1.4,ml,52,30,0.07915,0.18,ci,ci38106816,2018-02-12T17:46:48.830Z,"9km NE of Aguanga, CA",earthquake,0.17,0.63,0.13,26,reviewed,ci,ci
2018-02-12T05:50:52.490Z,33.4963333,-116.7985,4.46,2.44,ml,90,30,0.08578,0.22,ci,ci38106808,2018-02-12T06:02:27.720Z,"9km NE of Aguanga, CA",earthquake,0.17,0.57,0.152,26,automatic,ci,ci
2018-02-12T05:40:21.390Z,59.9734,-140.6933,9.4,1.5,ml,,,,0.38,ak,ak18431329,2018-02-12T05:42:58.682Z,"72km NW of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-12T05:29:09.810Z,12.1846,-88.8995,50.95,4.4,mb,,155,1.527,1.01,us,us2000d0t8,2018-02-12T11:00:25.040Z,"127km SSW of Puerto El Triunfo, El Salvador",earthquake,6.5,8,0.053,104,reviewed,us,us
2018-02-12T05:18:02.100Z,19.2043343,-155.522995,35.53,2.05,md,45,82,0.04934,0.16,hv,hv70035667,2018-02-12T05:21:22.890Z,"4km W of Pahala, Hawaii",earthquake,0.58,1.11,0.16,19,automatic,hv,hv
2018-02-12T05:02:14.860Z,33.4975,-116.7841667,6.4,0.64,ml,31,33,0.07822,0.15,ci,ci38106792,2018-02-12T17:46:53.460Z,"10km NE of Aguanga, CA",earthquake,0.2,0.7,0.155,20,reviewed,ci,ci
2018-02-12T04:48:06.890Z,47.7498333,-122.7948333,15.72,1.49,ml,11,90,0.1009,0.19,uw,uw61368701,2018-02-12T19:55:36.830Z,"11km W of Poulsbo, Washington",earthquake,0.56,0.66,0.161,19,reviewed,uw,uw
2018-02-12T04:05:02.100Z,38.8088341,-122.810997,-0.62,0.93,md,13,138,0.01229,0.33,nc,nc72968306,2018-02-12T04:38:02.768Z,"6km NW of The Geysers, CA",earthquake,0.76,3.14,0.08,2,automatic,nc,nc
2018-02-12T04:03:18.769Z,64.5045,-150.7972,0,1.4,ml,,,,0.82,ak,ak18430925,2018-02-12T04:10:44.259Z,"55km S of Manley Hot Springs, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-02-12T03:55:00.958Z,65.9204,-151.0077,2.7,1.4,ml,,,,1.03,ak,ak18430924,2018-02-12T04:10:44.514Z,"97km NNE of Tanana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-02-12T03:49:55.946Z,66.7144,-151.6896,0,1.5,ml,,,,0.76,ak,ak18430921,2018-02-12T03:59:45.774Z,"46km ENE of New Allakaket, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-02-12T03:27:12.370Z,19.2886,-65.7521,82,3.18,md,4,319,1.0341,0.12,pr,pr2018043000,2018-02-12T07:32:35.324Z,"95km N of Vieques, Puerto Rico",earthquake,4.51,6.86,0.01,3,reviewed,pr,pr
2018-02-12T03:22:47.100Z,43.5207,-127.2408,10,3.1,ml,,259,2.222,0.84,us,us2000d0rx,2018-02-12T20:47:04.499Z,"234km WNW of Bandon, Oregon",earthquake,7.5,2,0.042,74,reviewed,us,us
2018-02-12T03:07:27.800Z,34.0303333,-117.037,13.26,0.81,ml,19,52,0.06283,0.15,ci,ci38106776,2018-02-12T17:45:47.513Z,"1km ESE of Yucaipa, CA",earthquake,0.3,0.77,0.145,21,reviewed,ci,ci
2018-02-12T03:04:30.200Z,56.2673,-149.8771,20.1,3.7,ml,,227,2.108,0.47,us,us2000d0rg,2018-02-12T04:13:19.040Z,"228km SE of Kodiak, Alaska",earthquake,7.8,11.2,0.051,50,reviewed,us,us
